XQPCTick,j0x0,j0x1,j0x2,j1x0,j1x1,j1x2,j2x0,j2x1,j2x2,j3x0,j3x1,j3x2,j4x0,j4x1,j4x2,j5x0,j5x1,j5x2,j6x0,j6x1,j6x2,j7x0,j7x1,j7x2,j8x0,j8x1,j8x2,j9x0,j9x1,j9x2,j10x0,j10x1,j10x2,j11x0,j11x1,j11x2,j12x0,j12x1,j12x2,j13x0,j13x1,j13x2,j14x0,j14x1,j14x2,j15x0,j15x1,j15x2,j16x0,j16x1,j16x2,j17x0,j17x1,j17x2,j18x0,j18x1,j18x2,j19x0,j19x1,j19x2
18326033502.0,-0.19647,0.252627,3.081873,-0.196443,0.322379,3.103045,-0.201785,0.676167,3.098554,-0.213757,0.847601,3.04725,-0.393094,0.556547,3.125223,-0.454367,0.290888,3.182403,-0.47068,0.064915,3.124767,-0.461838,-0.032828,3.099127,-0.052368,0.576172,3.103334,0.087872,0.473307,2.819352,0.019344,0.519873,2.590447,0.015039,0.550645,2.573266,-0.280184,0.1631,3.080335,-0.306961,-0.372399,3.167491,-0.316471,-0.750308,3.288018,-0.367249,-0.81224,3.162851,-0.110013,0.171678,3.073607,-0.054344,-0.380025,3.149754,-0.036287,-0.754015,3.23249,0.011438,-0.821555,3.160213
18326077152.0,-0.197122,0.250629,3.081799,-0.197085,0.320679,3.104619,-0.204664,0.677675,3.101775,-0.212729,0.84692,3.046293,-0.392633,0.555319,3.122861,-0.454838,0.289582,3.181114,-0.470069,0.064286,3.119846,-0.462154,-0.033536,3.096188,-0.047573,0.579168,3.102006,0.119629,0.46875,2.876949,0.072099,0.511325,2.641566,0.060685,0.549204,2.577912,-0.279697,0.162691,3.079357,-0.307041,-0.372311,3.167509,-0.317907,-0.744074,3.279476,-0.368553,-0.813844,3.158431,-0.111548,0.170716,3.07369,-0.054379,-0.380032,3.149517,-0.036195,-0.753769,3.232108,0.011482,-0.821522,3.159985
18326110325.0,-0.196544,0.248452,3.081215,-0.19644,0.318331,3.105186,-0.203406,0.676165,3.100887,-0.213115,0.846015,3.046794,-0.391279,0.553495,3.120316,-0.454706,0.288657,3.179811,-0.469841,0.063598,3.119185,-0.460977,-0.032118,3.093542,-0.044276,0.581516,3.10239,0.120491,0.457812,2.972173,0.108073,0.502819,2.665639,0.097484,0.543611,2.597897,-0.27798,0.16136,3.077048,-0.307186,-0.372405,3.167408,-0.320769,-0.745484,3.264005,-0.36992,-0.815917,3.154917,-0.111953,0.169909,3.074024,-0.054484,-0.379809,3.149246,-0.035922,-0.751454,3.232605,0.011314,-0.821101,3.160289
18326143429.0,-0.196493,0.247921,3.080893,-0.196359,0.317579,3.105461,-0.20346,0.673773,3.098472,-0.212445,0.842652,3.046256,-0.391064,0.553171,3.119982,-0.455083,0.288516,3.17901,-0.465436,0.058793,3.104633,-0.460383,-0.031976,3.090748,-0.038573,0.581525,3.102053,0.135273,0.456444,2.990585,0.145182,0.497155,2.689828,0.148193,0.54834,2.605297,-0.277631,0.160931,3.075714,-0.307149,-0.372755,3.166733,-0.322007,-0.747983,3.257087,-0.369652,-0.815661,3.158343,-0.112108,0.169397,3.074355,-0.054751,-0.379534,3.148244,-0.03591,-0.751632,3.232234,0.011361,-0.821092,3.160286
18326177404.0,-0.196559,0.247893,3.08089,-0.196406,0.317487,3.106159,-0.203658,0.673995,3.098732,-0.211628,0.843304,3.046772,-0.391461,0.553418,3.120579,-0.455376,0.288304,3.177935,-0.465485,0.05877,3.104779,-0.460145,-0.032172,3.089742,-0.036437,0.582273,3.102759,0.139431,0.458685,2.993959,0.162593,0.497831,2.69299,0.166189,0.543387,2.618505,-0.277711,0.161037,3.075299,-0.307074,-0.373016,3.166813,-0.322281,-0.747772,3.257603,-0.371265,-0.816663,3.158316,-0.112376,0.169245,3.074607,-0.055093,-0.378987,3.147749,-0.035987,-0.751522,3.232244,0.011235,-0.820801,3.159511
18326220284.0,-0.196397,0.247758,3.080763,-0.196271,0.317313,3.106776,-0.202418,0.67483,3.099203,-0.211265,0.843169,3.046346,-0.391484,0.553392,3.120519,-0.455751,0.287872,3.177696,-0.465636,0.058656,3.105208,-0.458431,-0.03215,3.088,-0.03406,0.582332,3.104292,0.146675,0.461839,3.002442,0.198853,0.474121,2.749829,0.217407,0.540527,2.646313,-0.277472,0.160987,3.074527,-0.307076,-0.373069,3.166849,-0.322389,-0.746779,3.257044,-0.371802,-0.816632,3.157833,-0.112343,0.169108,3.074636,-0.055177,-0.37882,3.147473,-0.036029,-0.751447,3.232156,0.012008,-0.821752,3.156817
18326251756.0,-0.196062,0.247305,3.080432,-0.196458,0.316625,3.107345,-0.20231,0.673586,3.099905,-0.210965,0.841822,3.043048,-0.390335,0.550758,3.114063,-0.456013,0.287105,3.177447,-0.465545,0.058552,3.105098,-0.457926,-0.031449,3.087003,-0.032224,0.58288,3.105318,0.154738,0.463603,3.019182,0.224254,0.483854,2.703435,0.237485,0.542388,2.646314,-0.276802,0.160546,3.073532,-0.307138,-0.373231,3.16679,-0.322607,-0.745559,3.257486,-0.371108,-0.816361,3.157638,-0.112169,0.168796,3.074415,-0.055245,-0.378745,3.147511,-0.037202,-0.748476,3.231728,0.011959,-0.821645,3.157065
18326294791.0,-0.195788,0.247116,3.080057,-0.196204,0.316379,3.107632,-0.202043,0.673511,3.099457,-0.21068,0.841589,3.043029,-0.390347,0.550759,3.114044,-0.456218,0.287048,3.176795,-0.466388,0.05796,3.10305,-0.458216,-0.030982,3.086637,-0.03111,0.583057,3.105943,0.158272,0.469163,3.017684,0.228,0.484349,2.702955,0.253436,0.535468,2.654231,-0.276342,0.160481,3.072442,-0.307133,-0.373243,3.16677,-0.323082,-0.741864,3.249371,-0.370363,-0.815802,3.157154,-0.112045,0.168591,3.074409,-0.055051,-0.379969,3.147323,-0.036853,-0.750552,3.229476,0.012047,-0.821807,3.156588
18326327185.0,-0.195779,0.246957,3.07998,-0.196377,0.316183,3.108345,-0.204053,0.675128,3.100876,-0.209289,0.842054,3.043506,-0.390014,0.549891,3.112311,-0.456488,0.286766,3.176214,-0.466288,0.058575,3.102603,-0.458037,-0.030969,3.086428,-0.030536,0.58357,3.106378,0.159409,0.470078,3.019853,0.244498,0.48529,2.714045,0.27528,0.535371,2.667522,-0.276155,0.160382,3.072038,-0.307099,-0.373336,3.166728,-0.32069,-0.745783,3.260023,-0.369934,-0.815062,3.155455,-0.112013,0.168479,3.074398,-0.055139,-0.379965,3.14728,-0.036758,-0.750572,3.229433,0.011604,-0.821548,3.155176
18326360328.0,-0.195717,0.246485,3.080014,-0.19647,0.315432,3.109692,-0.204775,0.675601,3.104996,-0.208651,0.842198,3.043778,-0.389169,0.550179,3.111537,-0.45661,0.28654,3.176026,-0.466264,0.058716,3.102064,-0.458128,-0.030776,3.08623,-0.030131,0.583851,3.107393,0.160815,0.471208,3.023193,0.247655,0.484493,2.713709,0.286367,0.535018,2.674225,-0.275939,0.160278,3.072059,-0.307228,-0.373433,3.166682,-0.321375,-0.74499,3.25846,-0.369809,-0.815002,3.155394,-0.112123,0.16813,3.073975,-0.055224,-0.379706,3.147033,-0.036634,-0.74842,3.229652,0.01111,-0.821197,3.156278
18326394529.0,-0.195672,0.246007,3.079768,-0.196706,0.314928,3.110617,-0.204862,0.675395,3.10517,-0.207983,0.840341,3.041675,-0.388012,0.550835,3.111481,-0.457121,0.285142,3.169516,-0.465878,0.057258,3.098702,-0.457477,-0.030753,3.085268,-0.028847,0.583885,3.110329,0.162145,0.470742,3.02798,0.250218,0.482465,2.71769,0.286572,0.540008,2.686671,-0.27569,0.160175,3.0716,-0.307195,-0.373563,3.16622,-0.321516,-0.744999,3.258289,-0.369784,-0.814987,3.15542,-0.112216,0.167738,3.073732,-0.05517,-0.381787,3.146893,-0.036798,-0.749412,3.229493,0.011087,-0.821315,3.156167
18326437512.0,-0.195414,0.245751,3.079603,-0.196653,0.314564,3.111413,-0.204987,0.674753,3.104961,-0.207435,0.840193,3.04123,-0.387772,0.550617,3.111287,-0.457237,0.285264,3.169422,-0.465874,0.057364,3.098481,-0.456905,-0.030448,3.084846,-0.027539,0.583717,3.111618,0.162838,0.470058,3.02892,0.248884,0.474931,2.803375,0.273728,0.483472,2.707157,-0.275238,0.159963,3.071112,-0.307097,-0.374274,3.166417,-0.321633,-0.745105,3.258127,-0.371973,-0.816734,3.156092,-0.111869,0.167408,3.073689,-0.054978,-0.382549,3.147346,-0.036514,-0.751657,3.230131,0.011108,-0.821649,3.156008
18326468872.0,-0.195066,0.245659,3.079438,-0.196489,0.314383,3.112072,-0.204746,0.674457,3.104599,-0.206431,0.838889,3.041171,-0.387842,0.550601,3.111187,-0.457278,0.285233,3.169554,-0.465888,0.057219,3.09869,-0.456047,-0.031732,3.08391,-0.026683,0.583504,3.112931,0.163383,0.469378,3.030821,0.247912,0.475295,2.804873,0.307129,0.523438,2.699056,-0.274792,0.159798,3.070721,-0.307129,-0.374439,3.166506,-0.321798,-0.745357,3.257697,-0.37103,-0.81634,3.158274,-0.111468,0.167281,3.073662,-0.054928,-0.38252,3.147164,-0.036702,-0.751732,3.230538,0.011127,-0.821363,3.156029
18326511285.0,-0.195054,0.245489,3.079625,-0.196636,0.314005,3.113143,-0.205078,0.67383,3.105239,-0.205307,0.839044,3.040488,-0.387293,0.551287,3.111451,-0.457005,0.286116,3.168681,-0.465083,0.057836,3.097417,-0.456227,-0.030717,3.084182,-0.025971,0.582955,3.114429,0.164542,0.469658,3.032827,0.250808,0.466952,2.807689,0.286032,0.460476,2.742044,-0.27477,0.159798,3.070714,-0.306963,-0.374802,3.166255,-0.321795,-0.745774,3.256946,-0.371336,-0.816549,3.15631,-0.111456,0.166998,3.074132,-0.054956,-0.382396,3.147122,-0.036698,-0.751189,3.229201,0.010743,-0.820752,3.154091
18326544423.0,-0.194776,0.245094,3.079588,-0.196498,0.313584,3.113789,-0.205352,0.673432,3.105048,-0.205113,0.838582,3.040216,-0.386185,0.55143,3.111409,-0.456752,0.286326,3.166466,-0.463677,0.056419,3.094221,-0.456388,-0.030516,3.083998,-0.025778,0.582846,3.11463,0.1654,0.469757,3.035666,0.24654,0.467016,2.80868,0.280437,0.460472,2.742439,-0.274238,0.159609,3.070438,-0.307073,-0.374549,3.164882,-0.321793,-0.74548,3.256386,-0.371221,-0.816284,3.153526,-0.111213,0.166781,3.074295,-0.055012,-0.382254,3.14693,-0.03667,-0.751306,3.229268,0.010784,-0.820758,3.15483
